ID,PROJECT_NAME,POINT_TYPE,POINT_ORDER,LATITUDE,LONGITUDE,PROJECT_SECTOR,DEVELOPERS,DISTRICT,APPROVED_MONTH,,,,,,
12,Exploration Of Lithium and Pegmatite in TA Msamala in Balaka District,Boundary,1,-15.0997459,35.03359,Mining,"AVRO International Limited, Minach Trading",Balaka,June,,,,,,
12,Exploration Of Lithium and Pegmatite in TA Msamala in Balaka District,Boundary,2,-15.1124818,35.0461752,Mining,"AVRO International Limited, Minach Trading",Balaka,June,,,,,,
12,Exploration Of Lithium and Pegmatite in TA Msamala in Balaka District,Boundary,3,-15.1543053,35.0145734,Mining,"AVRO International Limited, Minach Trading",Balaka,June,,,,,,
12,Exploration Of Lithium and Pegmatite in TA Msamala in Balaka District,Boundary,4,-15.1345715,34.9991585,Mining,"AVRO International Limited, Minach Trading",Balaka,June,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,1,-13.6769451,33.9939916,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,2,-13.7039586,34.0928349,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,3,-13.7041949,34.0925493,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,4,-13.7316405,33.9991416,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,5,-13.7896442,33.9909421,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
13,"Exploration for Base Metals, Lead and Graphite in Lilongwe District",Boundary,6,-13.7894409,33.98528,Mining,Africa Drilling Mining Limited,Lilongwe,July,,,,,,
14,Construction and Operation of Dzumila Filling Station Along the M1 Road in Chikwawa District ,Single_point, ,-16.1317222,34.8425833,Energy,Mbesa Kodo,Chikwawa,July,,,,,,
15,"Exploration of Gold, Titanium, Base Metals, Graphite, Lithium and Other Related Metals in TA Kambwiri in Salima District",Boundary,,,,Mining,Tiyuni Holdings Ltd,Salima,July,,,,,,
,,,,,,,,,,,,,,,
16,"Construction of Marshall Lodge, Chapima Heights, Blantyre City",Singe_point,,-15.7578574,35.0139124,Construction,Chimwemwe & Elizabeth Mafeni,Blantyre,May,,,,,,
